run_dir,run_id,load_level,run_kind,target_lambda,duration_seconds,sample_interval_seconds,sample_count,sent_initial,sent_final,sent_delta,ok_initial,ok_final,ok_delta,err_initial,err_final,err_delta,final_target_lambda,final_inflight,final_last_err,completed_utc
results/v0.6.0/raw/v0.6.0_coll_20260619T151319Z_preflight_987d221,v0.6.0_coll_20260619T151319Z_preflight_987d221,,,,,,,,,,,,,,,,,,,
results/v0.6.0/raw/v0.6.0_coll_20260619T162516Z_rpc-preflight_84641b8,v0.6.0_coll_20260619T162516Z_rpc-preflight_84641b8,,,,,,,,,,,,,,,,,,,
results/v0.6.0/raw/v0.6.0_coll_20260619T163120Z_L0-idle-baseline_072d9dc,v0.6.0_coll_20260619T163120Z_L0-idle-baseline_072d9dc,L0,idle-baseline,,60,10,,,,,,,,,,,,,,
results/v0.6.0/raw/v0.6.0_coll_20260619T173857Z_L1-low-controlled-load_lambda-1_9ec7f22,v0.6.0_coll_20260619T173857Z_L1-low-controlled-load_lambda-1_9ec7f22,L1,low-controlled-load,1,60,5,11,1427,1499,72,1427,1499,72,0,0,0,0,0,,2026-06-19T17:40:18Z
results/v0.6.0/raw/v0.6.0_coll_20260619T175348Z_L1-low-controlled-load_lambda-1_eb311d8,v0.6.0_coll_20260619T175348Z_L1-low-controlled-load_lambda-1_eb311d8,L1,low-controlled-load,1,60,5,11,1500,1572,72,1500,1572,72,0,0,0,0,0,,2026-06-19T17:55:09Z
results/v0.6.0/raw/v0.6.0_coll_20260619T175511Z_L1-low-controlled-load_lambda-1_eb311d8,v0.6.0_coll_20260619T175511Z_L1-low-controlled-load_lambda-1_eb311d8,L1,low-controlled-load,1,60,5,11,1573,1645,72,1573,1645,72,0,0,0,0,0,,2026-06-19T17:56:33Z
results/v0.6.0/raw/v0.6.0_coll_20260620T085631Z_L1-low-controlled-load_lambda-1_74ab09e,v0.6.0_coll_20260620T085631Z_L1-low-controlled-load_lambda-1_74ab09e,L1,low-controlled-load,1,60,5,11,1646,1717,71,1646,1717,71,0,0,0,0,0,,2026-06-20T08:57:52Z
results/v0.6.0/raw/v0.6.0_coll_20260620T085851Z_L1-low-controlled-load_lambda-1_74ab09e,v0.6.0_coll_20260620T085851Z_L1-low-controlled-load_lambda-1_74ab09e,L1,low-controlled-load,1,60,5,11,1718,1789,71,1718,1789,71,0,0,0,0,0,,2026-06-20T09:00:12Z
results/v0.6.0/raw/v0.6.0_coll_20260620T091739Z_L2-moderate-controlled-load_lambda-2_edf993a,v0.6.0_coll_20260620T091739Z_L2-moderate-controlled-load_lambda-2_edf993a,L2,moderate-controlled-load,2,60,5,11,1790,1931,141,1790,1931,141,0,0,0,0,0,,2026-06-20T09:19:00Z
results/v0.6.0/raw/v0.6.0_coll_20260620T092106Z_L2-moderate-controlled-load_lambda-2_edf993a,v0.6.0_coll_20260620T092106Z_L2-moderate-controlled-load_lambda-2_edf993a,L2,moderate-controlled-load,2,60,5,11,1931,2072,141,1931,2072,141,0,0,0,0,0,,2026-06-20T09:22:27Z
results/v0.6.0/raw/v0.6.0_coll_20260620T093054Z_L2-moderate-controlled-load_lambda-2_3c7cb9b,v0.6.0_coll_20260620T093054Z_L2-moderate-controlled-load_lambda-2_3c7cb9b,L2,moderate-controlled-load,2,60,5,10,2072,2201,129,2072,2201,129,0,0,0,0,0,,2026-06-20T09:32:10Z
results/v0.6.0/raw/v0.6.0_coll_20260620T093253Z_L2-moderate-controlled-load_lambda-2_3c7cb9b,v0.6.0_coll_20260620T093253Z_L2-moderate-controlled-load_lambda-2_3c7cb9b,L2,moderate-controlled-load,2,60,5,11,2201,2342,141,2201,2342,141,0,0,0,0,0,,2026-06-20T09:34:14Z
results/v0.6.0/raw/v0.6.0_coll_20260620T093428Z_L2-moderate-controlled-load_lambda-2_3c7cb9b,v0.6.0_coll_20260620T093428Z_L2-moderate-controlled-load_lambda-2_3c7cb9b,L2,moderate-controlled-load,2,60,5,11,2342,2483,141,2342,2483,141,0,0,0,0,0,,2026-06-20T09:35:49Z
results/v0.6.0/raw/v0.6.0_coll_20260620T093939Z_L3-elevated-controlled-load_lambda-4_d645085,v0.6.0_coll_20260620T093939Z_L3-elevated-controlled-load_lambda-4_d645085,L3,elevated-controlled-load,4,60,5,11,2483,2759,276,2483,2759,276,0,0,0,0,0,,2026-06-20T09:41:00Z
