timestamp_utc,t_seconds,target_lambda
2026-06-23T18:37:00Z,0,128.0
2026-06-23T18:37:05Z,5,128.0
2026-06-23T18:37:10Z,10,128.0
2026-06-23T18:37:15Z,15,128.0
2026-06-23T18:37:20Z,20,128.0
2026-06-23T18:37:25Z,25,128.0
2026-06-23T18:37:30Z,30,128.0
2026-06-23T18:37:35Z,35,128.0
2026-06-23T18:37:40Z,40,128.0
2026-06-23T18:37:45Z,45,128.0
2026-06-23T18:37:50Z,50,128.0
2026-06-23T18:37:55Z,55,128.0
2026-06-23T18:38:00Z,60,128.0
2026-06-23T18:38:05Z,65,128.0
2026-06-23T18:38:10Z,70,128.0
2026-06-23T18:38:15Z,75,128.0
2026-06-23T18:38:20Z,80,128.0
2026-06-23T18:38:25Z,85,128.0
2026-06-23T18:38:30Z,90,128.0
2026-06-23T18:38:35Z,95,128.0
2026-06-23T18:38:40Z,100,128.0
2026-06-23T18:38:45Z,105,128.0
2026-06-23T18:38:50Z,110,128.0
2026-06-23T18:38:55Z,115,128.0
2026-06-23T18:39:00Z,120,128.0
2026-06-23T18:39:05Z,125,128.0
2026-06-23T18:39:10Z,130,128.0
2026-06-23T18:39:15Z,135,128.0
2026-06-23T18:39:20Z,140,128.0
2026-06-23T18:39:25Z,145,128.0
2026-06-23T18:39:30Z,150,128.0
2026-06-23T18:39:35Z,155,128.0
2026-06-23T18:39:40Z,160,128.0
2026-06-23T18:39:45Z,165,128.0
2026-06-23T18:39:50Z,170,128.0
2026-06-23T18:39:55Z,175,128.0
2026-06-23T18:40:00Z,180,128.0
2026-06-23T18:40:05Z,185,128.0
2026-06-23T18:40:10Z,190,128.0
2026-06-23T18:40:15Z,195,128.0
2026-06-23T18:40:20Z,200,128.0
2026-06-23T18:40:25Z,205,128.0
2026-06-23T18:40:30Z,210,128.0
2026-06-23T18:40:35Z,215,128.0
2026-06-23T18:40:40Z,220,128.0
2026-06-23T18:40:45Z,225,128.0
2026-06-23T18:40:50Z,230,128.0
2026-06-23T18:40:55Z,235,128.0
2026-06-23T18:41:00Z,240,128.0
2026-06-23T18:41:05Z,245,128.0
2026-06-23T18:41:10Z,250,128.0
2026-06-23T18:41:15Z,255,128.0
2026-06-23T18:41:20Z,260,128.0
2026-06-23T18:41:25Z,265,128.0
2026-06-23T18:41:30Z,270,128.0
2026-06-23T18:41:35Z,275,128.0
2026-06-23T18:41:40Z,280,128.0
2026-06-23T18:41:45Z,285,128.0
2026-06-23T18:41:50Z,290,128.0
2026-06-23T18:41:55Z,295,128.0
2026-06-23T18:42:00Z,300,128.0
2026-06-23T18:42:05Z,305,128.0
2026-06-23T18:42:10Z,310,128.0
2026-06-23T18:42:15Z,315,128.0
2026-06-23T18:42:20Z,320,128.0
2026-06-23T18:42:25Z,325,128.0
2026-06-23T18:42:30Z,330,128.0
2026-06-23T18:42:35Z,335,128.0
2026-06-23T18:42:40Z,340,128.0
2026-06-23T18:42:45Z,345,128.0
2026-06-23T18:42:50Z,350,128.0
2026-06-23T18:42:55Z,355,128.0
2026-06-23T18:43:00Z,360,128.0
2026-06-23T18:43:05Z,365,128.0
2026-06-23T18:43:10Z,370,128.0
2026-06-23T18:43:15Z,375,128.0
2026-06-23T18:43:20Z,380,128.0
2026-06-23T18:43:25Z,385,128.0
2026-06-23T18:43:30Z,390,128.0
2026-06-23T18:43:35Z,395,128.0
2026-06-23T18:43:40Z,400,128.0
2026-06-23T18:43:45Z,405,128.0
2026-06-23T18:43:50Z,410,128.0
2026-06-23T18:43:55Z,415,128.0
2026-06-23T18:44:00Z,420,128.0
2026-06-23T18:44:05Z,425,128.0
2026-06-23T18:44:10Z,430,128.0
2026-06-23T18:44:15Z,435,128.0
2026-06-23T18:44:20Z,440,128.0
2026-06-23T18:44:25Z,445,128.0
2026-06-23T18:44:30Z,450,128.0
2026-06-23T18:44:35Z,455,128.0
2026-06-23T18:44:40Z,460,128.0
2026-06-23T18:44:45Z,465,128.0
2026-06-23T18:44:50Z,470,128.0
2026-06-23T18:44:55Z,475,128.0
2026-06-23T18:45:00Z,480,128.0
2026-06-23T18:45:05Z,485,128.0
2026-06-23T18:45:10Z,490,128.0
2026-06-23T18:45:15Z,495,128.0
2026-06-23T18:45:20Z,500,128.0
2026-06-23T18:45:25Z,505,128.0
2026-06-23T18:45:30Z,510,128.0
2026-06-23T18:45:35Z,515,128.0
2026-06-23T18:45:40Z,520,128.0
2026-06-23T18:45:45Z,525,128.0
2026-06-23T18:45:50Z,530,128.0
2026-06-23T18:45:55Z,535,128.0
2026-06-23T18:46:00Z,540,128.0
2026-06-23T18:46:05Z,545,128.0
2026-06-23T18:46:10Z,550,128.0
2026-06-23T18:46:15Z,555,128.0
2026-06-23T18:46:20Z,560,128.0
2026-06-23T18:46:25Z,565,128.0
2026-06-23T18:46:30Z,570,128.0
2026-06-23T18:46:35Z,575,128.0
2026-06-23T18:46:40Z,580,128.0
2026-06-23T18:46:45Z,585,128.0
2026-06-23T18:46:50Z,590,128.0
2026-06-23T18:46:55Z,595,128.0
2026-06-23T18:47:00Z,600,128.0
