timestamp_utc,t_seconds,target_lambda
2026-06-23T18:13:21Z,0,64.0
2026-06-23T18:13:26Z,5,64.0
2026-06-23T18:13:31Z,10,64.0
2026-06-23T18:13:36Z,15,64.0
2026-06-23T18:13:41Z,20,64.0
2026-06-23T18:13:46Z,25,64.0
2026-06-23T18:13:51Z,30,64.0
2026-06-23T18:13:56Z,35,64.0
2026-06-23T18:14:01Z,40,64.0
2026-06-23T18:14:06Z,45,64.0
2026-06-23T18:14:11Z,50,64.0
2026-06-23T18:14:16Z,55,64.0
2026-06-23T18:14:21Z,60,64.0
2026-06-23T18:14:26Z,65,64.0
2026-06-23T18:14:31Z,70,64.0
2026-06-23T18:14:36Z,75,64.0
2026-06-23T18:14:41Z,80,64.0
2026-06-23T18:14:46Z,85,64.0
2026-06-23T18:14:51Z,90,64.0
2026-06-23T18:14:56Z,95,64.0
2026-06-23T18:15:01Z,100,64.0
2026-06-23T18:15:06Z,105,64.0
2026-06-23T18:15:11Z,110,64.0
2026-06-23T18:15:16Z,115,64.0
2026-06-23T18:15:21Z,120,64.0
2026-06-23T18:15:26Z,125,64.0
2026-06-23T18:15:31Z,130,64.0
2026-06-23T18:15:36Z,135,64.0
2026-06-23T18:15:41Z,140,64.0
2026-06-23T18:15:46Z,145,64.0
2026-06-23T18:15:51Z,150,64.0
2026-06-23T18:15:56Z,155,64.0
2026-06-23T18:16:01Z,160,64.0
2026-06-23T18:16:06Z,165,64.0
2026-06-23T18:16:11Z,170,64.0
2026-06-23T18:16:16Z,175,64.0
2026-06-23T18:16:21Z,180,64.0
2026-06-23T18:16:26Z,185,64.0
2026-06-23T18:16:31Z,190,64.0
2026-06-23T18:16:36Z,195,64.0
2026-06-23T18:16:41Z,200,64.0
2026-06-23T18:16:46Z,205,64.0
2026-06-23T18:16:51Z,210,64.0
2026-06-23T18:16:56Z,215,64.0
2026-06-23T18:17:01Z,220,64.0
2026-06-23T18:17:06Z,225,64.0
2026-06-23T18:17:11Z,230,64.0
2026-06-23T18:17:16Z,235,64.0
2026-06-23T18:17:21Z,240,64.0
2026-06-23T18:17:26Z,245,64.0
2026-06-23T18:17:31Z,250,64.0
2026-06-23T18:17:36Z,255,64.0
2026-06-23T18:17:41Z,260,64.0
2026-06-23T18:17:46Z,265,64.0
2026-06-23T18:17:51Z,270,64.0
2026-06-23T18:17:56Z,275,64.0
2026-06-23T18:18:01Z,280,64.0
2026-06-23T18:18:06Z,285,64.0
2026-06-23T18:18:11Z,290,64.0
2026-06-23T18:18:16Z,295,64.0
2026-06-23T18:18:21Z,300,64.0
2026-06-23T18:18:26Z,305,64.0
2026-06-23T18:18:31Z,310,64.0
2026-06-23T18:18:36Z,315,64.0
2026-06-23T18:18:41Z,320,64.0
2026-06-23T18:18:46Z,325,64.0
2026-06-23T18:18:51Z,330,64.0
2026-06-23T18:18:56Z,335,64.0
2026-06-23T18:19:01Z,340,64.0
2026-06-23T18:19:06Z,345,64.0
2026-06-23T18:19:11Z,350,64.0
2026-06-23T18:19:16Z,355,64.0
2026-06-23T18:19:21Z,360,64.0
2026-06-23T18:19:26Z,365,64.0
2026-06-23T18:19:31Z,370,64.0
2026-06-23T18:19:36Z,375,64.0
2026-06-23T18:19:41Z,380,64.0
2026-06-23T18:19:46Z,385,64.0
2026-06-23T18:19:51Z,390,64.0
2026-06-23T18:19:56Z,395,64.0
2026-06-23T18:20:01Z,400,64.0
2026-06-23T18:20:06Z,405,64.0
2026-06-23T18:20:11Z,410,64.0
2026-06-23T18:20:16Z,415,64.0
2026-06-23T18:20:21Z,420,64.0
2026-06-23T18:20:26Z,425,64.0
2026-06-23T18:20:31Z,430,64.0
2026-06-23T18:20:36Z,435,64.0
2026-06-23T18:20:41Z,440,64.0
2026-06-23T18:20:46Z,445,64.0
