timestamp_utc,t_seconds,target_lambda
2026-06-23T17:49:49Z,0,32.0
2026-06-23T17:49:54Z,5,32.0
2026-06-23T17:49:59Z,10,32.0
2026-06-23T17:50:04Z,15,32.0
2026-06-23T17:50:09Z,20,32.0
2026-06-23T17:50:14Z,25,32.0
2026-06-23T17:50:19Z,30,32.0
2026-06-23T17:50:24Z,35,32.0
2026-06-23T17:50:29Z,40,32.0
2026-06-23T17:50:34Z,45,32.0
2026-06-23T17:50:39Z,50,32.0
2026-06-23T17:50:44Z,55,32.0
2026-06-23T17:50:49Z,60,32.0
2026-06-23T17:50:54Z,65,32.0
2026-06-23T17:50:59Z,70,32.0
2026-06-23T17:51:04Z,75,32.0
2026-06-23T17:51:09Z,80,32.0
2026-06-23T17:51:14Z,85,32.0
2026-06-23T17:51:19Z,90,32.0
2026-06-23T17:51:24Z,95,32.0
2026-06-23T17:51:29Z,100,32.0
2026-06-23T17:51:34Z,105,32.0
2026-06-23T17:51:39Z,110,32.0
2026-06-23T17:51:44Z,115,32.0
2026-06-23T17:51:49Z,120,32.0
2026-06-23T17:51:54Z,125,32.0
2026-06-23T17:51:59Z,130,32.0
2026-06-23T17:52:04Z,135,32.0
2026-06-23T17:52:09Z,140,32.0
2026-06-23T17:52:14Z,145,32.0
2026-06-23T17:52:19Z,150,32.0
2026-06-23T17:52:24Z,155,32.0
2026-06-23T17:52:29Z,160,32.0
2026-06-23T17:52:34Z,165,32.0
2026-06-23T17:52:39Z,170,32.0
2026-06-23T17:52:44Z,175,32.0
2026-06-23T17:52:49Z,180,32.0
2026-06-23T17:52:54Z,185,32.0
2026-06-23T17:52:59Z,190,32.0
2026-06-23T17:53:04Z,195,32.0
2026-06-23T17:53:09Z,200,32.0
2026-06-23T17:53:14Z,205,32.0
2026-06-23T17:53:19Z,210,32.0
2026-06-23T17:53:24Z,215,32.0
2026-06-23T17:53:29Z,220,32.0
2026-06-23T17:53:34Z,225,32.0
2026-06-23T17:53:39Z,230,32.0
2026-06-23T17:53:44Z,235,32.0
2026-06-23T17:53:49Z,240,32.0
2026-06-23T17:53:54Z,245,32.0
2026-06-23T17:53:59Z,250,32.0
2026-06-23T17:54:04Z,255,32.0
2026-06-23T17:54:09Z,260,32.0
2026-06-23T17:54:14Z,265,32.0
2026-06-23T17:54:19Z,270,32.0
2026-06-23T17:54:24Z,275,32.0
2026-06-23T17:54:29Z,280,32.0
2026-06-23T17:54:34Z,285,32.0
2026-06-23T17:54:39Z,290,32.0
2026-06-23T17:54:44Z,295,32.0
2026-06-23T17:54:49Z,300,32.0
2026-06-23T17:54:54Z,305,32.0
2026-06-23T17:54:59Z,310,32.0
2026-06-23T17:55:04Z,315,32.0
2026-06-23T17:55:09Z,320,32.0
2026-06-23T17:55:14Z,325,32.0
2026-06-23T17:55:19Z,330,32.0
2026-06-23T17:55:24Z,335,32.0
2026-06-23T17:55:29Z,340,32.0
2026-06-23T17:55:34Z,345,32.0
2026-06-23T17:55:39Z,350,32.0
2026-06-23T17:55:44Z,355,32.0
2026-06-23T17:55:49Z,360,32.0
2026-06-23T17:55:54Z,365,32.0
2026-06-23T17:55:59Z,370,32.0
2026-06-23T17:56:04Z,375,32.0
2026-06-23T17:56:09Z,380,32.0
2026-06-23T17:56:14Z,385,32.0
2026-06-23T17:56:19Z,390,32.0
2026-06-23T17:56:24Z,395,32.0
2026-06-23T17:56:29Z,400,32.0
2026-06-23T17:56:34Z,405,32.0
2026-06-23T17:56:39Z,410,32.0
2026-06-23T17:56:44Z,415,32.0
2026-06-23T17:56:49Z,420,32.0
2026-06-23T17:56:54Z,425,32.0
2026-06-23T17:56:59Z,430,32.0
2026-06-23T17:57:04Z,435,32.0
2026-06-23T17:57:09Z,440,32.0
2026-06-23T17:57:14Z,445,32.0
2026-06-23T17:57:19Z,450,32.0
2026-06-23T17:57:24Z,455,32.0
2026-06-23T17:57:29Z,460,32.0
2026-06-23T17:57:34Z,465,32.0
2026-06-23T17:57:39Z,470,32.0
2026-06-23T17:57:44Z,475,32.0
2026-06-23T17:57:49Z,480,32.0
2026-06-23T17:57:54Z,485,32.0
2026-06-23T17:57:59Z,490,32.0
2026-06-23T17:58:04Z,495,32.0
2026-06-23T17:58:09Z,500,32.0
2026-06-23T17:58:14Z,505,32.0
2026-06-23T17:58:19Z,510,32.0
2026-06-23T17:58:24Z,515,32.0
2026-06-23T17:58:29Z,520,32.0
2026-06-23T17:58:34Z,525,32.0
2026-06-23T17:58:39Z,530,32.0
2026-06-23T17:58:44Z,535,32.0
2026-06-23T17:58:49Z,540,32.0
2026-06-23T17:58:54Z,545,32.0
2026-06-23T17:58:59Z,550,32.0
2026-06-23T17:59:04Z,555,32.0
2026-06-23T17:59:09Z,560,32.0
2026-06-23T17:59:14Z,565,32.0
2026-06-23T17:59:19Z,570,32.0
2026-06-23T17:59:24Z,575,32.0
2026-06-23T17:59:29Z,580,32.0
2026-06-23T17:59:34Z,585,32.0
2026-06-23T17:59:39Z,590,32.0
2026-06-23T17:59:44Z,595,32.0
2026-06-23T17:59:49Z,600,32.0
2026-06-23T17:59:54Z,605,32.0
2026-06-23T17:59:59Z,610,32.0
2026-06-23T18:00:04Z,615,32.0
2026-06-23T18:00:09Z,620,32.0
2026-06-23T18:00:14Z,625,32.0
2026-06-23T18:00:19Z,630,32.0
2026-06-23T18:00:24Z,635,32.0
2026-06-23T18:00:29Z,640,32.0
2026-06-23T18:00:34Z,645,32.0
