candidate_id,prediction_horizon,control_horizon,tracking_error_weight,control_effort_weight,control_delta_weight,soft_constraint_weight,profile,calibrated_status,full_rmse,full_mae,full_max_abs_error,settled_rmse,settled_mae,settled_max_abs_error,final_error,final_abs_error,overshoot,undershoot,rate_limit_fraction,saturation_fraction,target_change_count,closed_loop_simulated,performance_claim
mpc_skeleton_ph05_ch01_q1.000_r0.010_du0.100_sc100.0,5,1,1.0,0.01,0.1,100.0,hold-y-eq,PASS,0.9788377809977965,0.9726278727862466,0.9864655636139901,0.9788377809977965,0.9726278727862466,0.9864655636139901,0.9864655636139901,0.9864655636139901,0.9864655636139901,0.0,0.0,0.0,0,True,False
mpc_skeleton_ph05_ch01_q1.000_r0.010_du0.100_sc100.0,5,1,1.0,0.01,0.1,100.0,step64-96,SETTLED_WARN,2.907049001138811,1.3293680316941017,19.296330123922246,2.9075933693675613,1.3034631076750112,19.296330123922246,0.7772528457165606,0.7772528457165606,19.296330123922246,6.35176801207075,0.0,0.0,1,True,False
mpc_skeleton_ph05_ch01_q1.000_r0.010_du0.100_sc100.0,5,1,1.0,0.01,0.1,100.0,step96-64,SETTLED_WARN,3.0846909206590993,1.6551664414239748,20.43437928323162,3.1134836012870877,1.6247465137536403,20.43437928323162,1.2234286910813807,1.2234286910813807,5.1801537296145455,20.43437928323162,0.0,0.0,1,True,False
mpc_skeleton_ph05_ch01_q1.000_r0.010_du0.100_sc100.0,5,1,1.0,0.01,0.1,100.0,multistep,UNEXPLAINED_FAIL,6.702143491756597,2.858493394386328,40.161482714636776,7.164627706672947,2.9643960316815323,40.161482714636776,-0.5288520320815024,0.5288520320815024,19.986123465218164,40.161482714636776,0.0,0.0,3,True,False
mpc_skeleton_ph05_ch01_q1.000_r0.010_du0.100_sc100.0,5,1,1.0,0.01,0.1,100.0,lower-range,SETTLED_WARN,2.8670044919967697,1.7656308981219935,14.439276311150351,2.9969507208930226,1.7856036169366394,14.439276311150351,-1.43650923236644,1.43650923236644,9.82302940673651,14.439276311150351,0.0,0.0,3,True,False
mpc_skeleton_ph05_ch01_q1.000_r0.010_du0.100_sc100.0,5,1,1.0,0.01,0.1,100.0,sine-approx,PASS,2.6325620063265394,2.2902063616015615,4.840266737813778,0.0,0.0,0.0,2.6472432947439444,2.6472432947439444,4.321683720133137,4.840266737813778,0.0,0.0,79,True,False
mpc_skeleton_ph05_ch01_q1.000_r0.050_du0.100_sc100.0,5,1,1.0,0.05,0.1,100.0,hold-y-eq,PASS,0.9788377809977965,0.9726278727862466,0.9864655636139901,0.9788377809977965,0.9726278727862466,0.9864655636139901,0.9864655636139901,0.9864655636139901,0.9864655636139901,0.0,0.0,0.0,0,True,False
mpc_skeleton_ph05_ch01_q1.000_r0.050_du0.100_sc100.0,5,1,1.0,0.05,0.1,100.0,step64-96,SETTLED_WARN,2.907049001138811,1.3293680316941017,19.296330123922246,2.9075933693675613,1.3034631076750112,19.296330123922246,0.7772528457165606,0.7772528457165606,19.296330123922246,6.35176801207075,0.0,0.0,1,True,False
mpc_skeleton_ph05_ch01_q1.000_r0.050_du0.100_sc100.0,5,1,1.0,0.05,0.1,100.0,step96-64,SETTLED_WARN,3.0846909206590993,1.6551664414239748,20.43437928323162,3.1134836012870877,1.6247465137536403,20.43437928323162,1.2234286910813807,1.2234286910813807,5.1801537296145455,20.43437928323162,0.0,0.0,1,True,False
mpc_skeleton_ph05_ch01_q1.000_r0.050_du0.100_sc100.0,5,1,1.0,0.05,0.1,100.0,multistep,UNEXPLAINED_FAIL,6.702143491756597,2.858493394386328,40.161482714636776,7.164627706672947,2.9643960316815323,40.161482714636776,-0.5288520320815024,0.5288520320815024,19.986123465218164,40.161482714636776,0.0,0.0,3,True,False
mpc_skeleton_ph05_ch01_q1.000_r0.050_du0.100_sc100.0,5,1,1.0,0.05,0.1,100.0,lower-range,SETTLED_WARN,2.8670044919967697,1.7656308981219935,14.439276311150351,2.9969507208930226,1.7856036169366394,14.439276311150351,-1.43650923236644,1.43650923236644,9.82302940673651,14.439276311150351,0.0,0.0,3,True,False
mpc_skeleton_ph05_ch01_q1.000_r0.050_du0.100_sc100.0,5,1,1.0,0.05,0.1,100.0,sine-approx,PASS,2.6325620063265394,2.2902063616015615,4.840266737813778,0.0,0.0,0.0,2.6472432947439444,2.6472432947439444,4.321683720133137,4.840266737813778,0.0,0.0,79,True,False
mpc_skeleton_ph05_ch03_q1.000_r0.010_du0.100_sc100.0,5,3,1.0,0.01,0.1,100.0,hold-y-eq,PASS,0.9788377809977965,0.9726278727862466,0.9864655636139901,0.9788377809977965,0.9726278727862466,0.9864655636139901,0.9864655636139901,0.9864655636139901,0.9864655636139901,0.0,0.0,0.0,0,True,False
mpc_skeleton_ph05_ch03_q1.000_r0.010_du0.100_sc100.0,5,3,1.0,0.01,0.1,100.0,step64-96,SETTLED_WARN,2.907049001138811,1.3293680316941017,19.296330123922246,2.9075933693675613,1.3034631076750112,19.296330123922246,0.7772528457165606,0.7772528457165606,19.296330123922246,6.35176801207075,0.0,0.0,1,True,False
mpc_skeleton_ph05_ch03_q1.000_r0.010_du0.100_sc100.0,5,3,1.0,0.01,0.1,100.0,step96-64,SETTLED_WARN,3.0846909206590993,1.6551664414239748,20.43437928323162,3.1134836012870877,1.6247465137536403,20.43437928323162,1.2234286910813807,1.2234286910813807,5.1801537296145455,20.43437928323162,0.0,0.0,1,True,False
mpc_skeleton_ph05_ch03_q1.000_r0.010_du0.100_sc100.0,5,3,1.0,0.01,0.1,100.0,multistep,UNEXPLAINED_FAIL,6.702143491756597,2.858493394386328,40.161482714636776,7.164627706672947,2.9643960316815323,40.161482714636776,-0.5288520320815024,0.5288520320815024,19.986123465218164,40.161482714636776,0.0,0.0,3,True,False
mpc_skeleton_ph05_ch03_q1.000_r0.010_du0.100_sc100.0,5,3,1.0,0.01,0.1,100.0,lower-range,SETTLED_WARN,2.8670044919967697,1.7656308981219935,14.439276311150351,2.9969507208930226,1.7856036169366394,14.439276311150351,-1.43650923236644,1.43650923236644,9.82302940673651,14.439276311150351,0.0,0.0,3,True,False
mpc_skeleton_ph05_ch03_q1.000_r0.010_du0.100_sc100.0,5,3,1.0,0.01,0.1,100.0,sine-approx,PASS,2.6325620063265394,2.2902063616015615,4.840266737813778,0.0,0.0,0.0,2.6472432947439444,2.6472432947439444,4.321683720133137,4.840266737813778,0.0,0.0,79,True,False
mpc_skeleton_ph05_ch03_q1.000_r0.050_du0.100_sc100.0,5,3,1.0,0.05,0.1,100.0,hold-y-eq,PASS,0.9788377809977965,0.9726278727862466,0.9864655636139901,0.9788377809977965,0.9726278727862466,0.9864655636139901,0.9864655636139901,0.9864655636139901,0.9864655636139901,0.0,0.0,0.0,0,True,False
mpc_skeleton_ph05_ch03_q1.000_r0.050_du0.100_sc100.0,5,3,1.0,0.05,0.1,100.0,step64-96,SETTLED_WARN,2.907049001138811,1.3293680316941017,19.296330123922246,2.9075933693675613,1.3034631076750112,19.296330123922246,0.7772528457165606,0.7772528457165606,19.296330123922246,6.35176801207075,0.0,0.0,1,True,False
mpc_skeleton_ph05_ch03_q1.000_r0.050_du0.100_sc100.0,5,3,1.0,0.05,0.1,100.0,step96-64,SETTLED_WARN,3.0846909206590993,1.6551664414239748,20.43437928323162,3.1134836012870877,1.6247465137536403,20.43437928323162,1.2234286910813807,1.2234286910813807,5.1801537296145455,20.43437928323162,0.0,0.0,1,True,False
