timestamp_utc,t_seconds,target_lambda,phase,phase_index
2026-06-24T03:18:35Z,530,32.0,hold,2
2026-06-24T03:18:40Z,535,32.0,hold,2
2026-06-24T03:18:45Z,540,32.0,hold,2
2026-06-24T03:18:50Z,545,32.0,hold,2
2026-06-24T03:18:55Z,550,32.0,hold,2
2026-06-24T03:19:00Z,555,32.0,hold,2
2026-06-24T03:19:05Z,560,32.0,hold,2
2026-06-24T03:19:10Z,565,32.0,hold,2
2026-06-24T03:19:15Z,570,32.0,hold,2
2026-06-24T03:19:20Z,575,32.0,hold,2
2026-06-24T03:19:25Z,580,32.0,hold,2
2026-06-24T03:19:30Z,585,32.0,hold,2
2026-06-24T03:19:35Z,590,32.0,hold,2
2026-06-24T03:19:40Z,595,32.0,hold,2
2026-06-24T03:19:45Z,600,32.0,hold,2
2026-06-24T03:19:50Z,605,32.0,hold,2
2026-06-24T03:19:55Z,610,32.0,hold,2
2026-06-24T03:20:00Z,615,32.0,hold,2
2026-06-24T03:20:05Z,620,32.0,hold,2
2026-06-24T03:20:10Z,625,32.0,hold,2
2026-06-24T03:20:15Z,630,32.0,hold,2
