profile,controller_case,step,time_seconds,target,y_before,error_before,raw_u,u_cmd,delayed_u,y_after,error_after,limited_by_rate,limited_by_bounds,anti_windup_frozen,actuator_applied
hold-y-eq,feedforward,0,0.0,97.16156286,97.16156286,0.0,97.88352728144673,97.88352728144673,97.88352728144673,97.16156286,0.0,False,False,False,False
hold-y-eq,feedforward,1,5.0,97.16156286,97.16156286,0.0,97.88352728144673,97.88352728144673,97.88352728144673,97.16156286,0.0,False,False,False,False
hold-y-eq,feedforward,2,10.0,97.16156286,97.16156286,0.0,97.88352728144673,97.88352728144673,97.88352728144673,97.16156286,0.0,False,False,False,False
hold-y-eq,feedforward,3,15.0,97.16156286,97.16156286,0.0,97.88352728144673,97.88352728144673,97.88352728144673,97.16156286,0.0,False,False,False,False
hold-y-eq,feedforward,4,20.0,97.16156286,97.16156286,0.0,97.88352728144673,97.88352728144673,97.88352728144673,97.16156286,0.0,False,False,False,False
hold-y-eq,feedforward,5,25.0,97.16156286,97.16156286,0.0,97.88352728144673,97.88352728144673,97.88352728144673,97.16156286,0.0,False,False,False,False
hold-y-eq,feedforward,6,30.0,97.16156286,97.16156286,0.0,97.88352728144673,97.88352728144673,97.88352728144673,97.16156286,0.0,False,False,False,False
hold-y-eq,feedforward,7,35.0,97.16156286,97.16156286,0.0,97.88352728144673,97.88352728144673,97.88352728144673,97.16156286,0.0,False,False,False,False
hold-y-eq,feedforward,8,40.0,97.16156286,97.16156286,0.0,97.88352728144673,97.88352728144673,97.88352728144673,97.16156286,0.0,False,False,False,False
hold-y-eq,feedforward,9,45.0,97.16156286,97.16156286,0.0,97.88352728144673,97.88352728144673,97.88352728144673,97.16156286,0.0,False,False,False,False
hold-y-eq,feedforward,10,50.0,97.16156286,97.16156286,0.0,97.88352728144673,97.88352728144673,97.88352728144673,97.16156286,0.0,False,False,False,False
hold-y-eq,feedforward,11,55.0,97.16156286,97.16156286,0.0,97.88352728144673,97.88352728144673,97.88352728144673,97.16156286,0.0,False,False,False,False
hold-y-eq,feedforward,12,60.0,97.16156286,97.16156286,0.0,97.88352728144673,97.88352728144673,97.88352728144673,97.16156286,0.0,False,False,False,False
hold-y-eq,feedforward,13,65.0,97.16156286,97.16156286,0.0,97.88352728144673,97.88352728144673,97.88352728144673,97.16156286,0.0,False,False,False,False
hold-y-eq,feedforward,14,70.0,97.16156286,97.16156286,0.0,97.88352728144673,97.88352728144673,97.88352728144673,97.16156286,0.0,False,False,False,False
hold-y-eq,feedforward,15,75.0,97.16156286,97.16156286,0.0,97.88352728144673,97.88352728144673,97.88352728144673,97.16156286,0.0,False,False,False,False
hold-y-eq,feedforward,16,80.0,97.16156286,97.16156286,0.0,97.88352728144673,97.88352728144673,97.88352728144673,97.16156286,0.0,False,False,False,False
hold-y-eq,feedforward,17,85.0,97.16156286,97.16156286,0.0,97.88352728144673,97.88352728144673,97.88352728144673,97.16156286,0.0,False,False,False,False
hold-y-eq,feedforward,18,90.0,97.16156286,97.16156286,0.0,97.88352728144673,97.88352728144673,97.88352728144673,97.16156286,0.0,False,False,False,False
hold-y-eq,feedforward,19,95.0,97.16156286,97.16156286,0.0,97.88352728144673,97.88352728144673,97.88352728144673,97.16156286,0.0,False,False,False,False
hold-y-eq,feedforward,20,100.0,97.16156286,97.16156286,0.0,97.88352728144673,97.88352728144673,97.88352728144673,97.16156286,0.0,False,False,False,False
hold-y-eq,feedforward,21,105.0,97.16156286,97.16156286,0.0,97.88352728144673,97.88352728144673,97.88352728144673,97.16156286,0.0,False,False,False,False
hold-y-eq,feedforward,22,110.0,97.16156286,97.16156286,0.0,97.88352728144673,97.88352728144673,97.88352728144673,97.16156286,0.0,False,False,False,False
hold-y-eq,feedforward,23,115.0,97.16156286,97.16156286,0.0,97.88352728144673,97.88352728144673,97.88352728144673,97.16156286,0.0,False,False,False,False
hold-y-eq,feedforward,24,120.0,97.16156286,97.16156286,0.0,97.88352728144673,97.88352728144673,97.88352728144673,97.16156286,0.0,False,False,False,False
hold-y-eq,feedforward,25,125.0,97.16156286,97.16156286,0.0,97.88352728144673,97.88352728144673,97.88352728144673,97.16156286,0.0,False,False,False,False
hold-y-eq,feedforward,26,130.0,97.16156286,97.16156286,0.0,97.88352728144673,97.88352728144673,97.88352728144673,97.16156286,0.0,False,False,False,False
hold-y-eq,feedforward,27,135.0,97.16156286,97.16156286,0.0,97.88352728144673,97.88352728144673,97.88352728144673,97.16156286,0.0,False,False,False,False
hold-y-eq,feedforward,28,140.0,97.16156286,97.16156286,0.0,97.88352728144673,97.88352728144673,97.88352728144673,97.16156286,0.0,False,False,False,False
hold-y-eq,feedforward,29,145.0,97.16156286,97.16156286,0.0,97.88352728144673,97.88352728144673,97.88352728144673,97.16156286,0.0,False,False,False,False
hold-y-eq,feedforward,30,150.0,97.16156286,97.16156286,0.0,97.88352728144673,97.88352728144673,97.88352728144673,97.16156286,0.0,False,False,False,False
hold-y-eq,feedforward,31,155.0,97.16156286,97.16156286,0.0,97.88352728144673,97.88352728144673,97.88352728144673,97.16156286,0.0,False,False,False,False
hold-y-eq,feedforward,32,160.0,97.16156286,97.16156286,0.0,97.88352728144673,97.88352728144673,97.88352728144673,97.16156286,0.0,False,False,False,False
hold-y-eq,feedforward,33,165.0,97.16156286,97.16156286,0.0,97.88352728144673,97.88352728144673,97.88352728144673,97.16156286,0.0,False,False,False,False
hold-y-eq,feedforward,34,170.0,97.16156286,97.16156286,0.0,97.88352728144673,97.88352728144673,97.88352728144673,97.16156286,0.0,False,False,False,False
hold-y-eq,feedforward,35,175.0,97.16156286,97.16156286,0.0,97.88352728144673,97.88352728144673,97.88352728144673,97.16156286,0.0,False,False,False,False
hold-y-eq,feedforward,36,180.0,97.16156286,97.16156286,0.0,97.88352728144673,97.88352728144673,97.88352728144673,97.16156286,0.0,False,False,False,False
hold-y-eq,feedforward,37,185.0,97.16156286,97.16156286,0.0,97.88352728144673,97.88352728144673,97.88352728144673,97.16156286,0.0,False,False,False,False
hold-y-eq,feedforward,38,190.0,97.16156286,97.16156286,0.0,97.88352728144673,97.88352728144673,97.88352728144673,97.16156286,0.0,False,False,False,False
hold-y-eq,feedforward,39,195.0,97.16156286,97.16156286,0.0,97.88352728144673,97.88352728144673,97.88352728144673,97.16156286,0.0,False,False,False,False
hold-y-eq,feedforward,40,200.0,97.16156286,97.16156286,0.0,97.88352728144673,97.88352728144673,97.88352728144673,97.16156286,0.0,False,False,False,False
hold-y-eq,feedforward,41,205.0,97.16156286,97.16156286,0.0,97.88352728144673,97.88352728144673,97.88352728144673,97.16156286,0.0,False,False,False,False
hold-y-eq,feedforward,42,210.0,97.16156286,97.16156286,0.0,97.88352728144673,97.88352728144673,97.88352728144673,97.16156286,0.0,False,False,False,False
hold-y-eq,feedforward,43,215.0,97.16156286,97.16156286,0.0,97.88352728144673,97.88352728144673,97.88352728144673,97.16156286,0.0,False,False,False,False
hold-y-eq,feedforward,44,220.0,97.16156286,97.16156286,0.0,97.88352728144673,97.88352728144673,97.88352728144673,97.16156286,0.0,False,False,False,False
hold-y-eq,feedforward,45,225.0,97.16156286,97.16156286,0.0,97.88352728144673,97.88352728144673,97.88352728144673,97.16156286,0.0,False,False,False,False
hold-y-eq,feedforward,46,230.0,97.16156286,97.16156286,0.0,97.88352728144673,97.88352728144673,97.88352728144673,97.16156286,0.0,False,False,False,False
hold-y-eq,feedforward,47,235.0,97.16156286,97.16156286,0.0,97.88352728144673,97.88352728144673,97.88352728144673,97.16156286,0.0,False,False,False,False
hold-y-eq,feedforward,48,240.0,97.16156286,97.16156286,0.0,97.88352728144673,97.88352728144673,97.88352728144673,97.16156286,0.0,False,False,False,False
hold-y-eq,feedforward,49,245.0,97.16156286,97.16156286,0.0,97.88352728144673,97.88352728144673,97.88352728144673,97.16156286,0.0,False,False,False,False
hold-y-eq,feedforward,50,250.0,97.16156286,97.16156286,0.0,97.88352728144673,97.88352728144673,97.88352728144673,97.16156286,0.0,False,False,False,False
