controller,profile_id,case_id,steps,mean_abs_error,max_abs_error,replica_changes,total_abs_replica_change,min_replicas,max_replicas,mean_replicas,constraint_violations
reference_p_only_v0.14.3,nominal_profile,nominal_step_up,60,7.843687757763876,30.0,60,119,1,7,3.1166666666666667,0
reference_p_only_v0.14.3,elevated_profile,elevated_step_up,60,6.596948362271475,45.0,46,86,2,8,3.85,0
reference_p_only_v0.14.3,conservative_profile,conservative_step_down,60,7.5287003100559815,15.31146666666666,42,82,1,3,2.316666666666667,0
