controller,profile_id,case_id,time_step,target_throughput,current_throughput,error,current_replicas,desired_replicas,safe_replicas,applied_replica_delta,raw_control_signal,clipped_control_signal,constraint_violation,next_throughput
reference_p_only_v0.14.3,nominal_profile,nominal_step_up,32,100.0,107.07059298281663,-7.070592982816635,4,2,2,-2,-2.474707543985822,-2.0,0,92.92921877216415
reference_p_only_v0.14.3,nominal_profile,nominal_step_up,33,100.0,92.92921877216415,7.070781227835852,2,4,4,2,2.474773429742548,2.0,0,107.07065886857336
reference_p_only_v0.14.3,nominal_profile,nominal_step_up,34,100.0,107.07065886857336,-7.070658868573361,4,2,2,-2,-2.4747306040006762,-2.0,0,92.92926159790602
reference_p_only_v0.14.3,nominal_profile,nominal_step_up,35,100.0,92.92926159790602,7.07073840209398,2,4,4,2,2.474758440732893,2.0,0,107.07068670530558
reference_p_only_v0.14.3,nominal_profile,nominal_step_up,36,100.0,107.07068670530558,-7.070686705305576,4,2,2,-2,-2.4747403468569513,-2.0,0,92.92927969178196
reference_p_only_v0.14.3,nominal_profile,nominal_step_up,37,100.0,92.92927969178196,7.070720308218043,2,4,4,2,2.4747521078763146,2.0,0,107.07069846632494
reference_p_only_v0.14.3,nominal_profile,nominal_step_up,38,100.0,107.07069846632494,-7.0706984663249415,4,2,2,-2,-2.4747444632137294,-2.0,0,92.92928733644455
reference_p_only_v0.14.3,nominal_profile,nominal_step_up,39,100.0,92.92928733644455,7.0707126635554545,2,4,4,2,2.474749432244409,2.0,0,107.07070343535563
reference_p_only_v0.14.3,nominal_profile,nominal_step_up,40,100.0,107.07070343535563,-7.070703435355625,4,2,2,-2,-2.474746202374469,-2.0,0,92.92929056631449
reference_p_only_v0.14.3,nominal_profile,nominal_step_up,41,100.0,92.92929056631449,7.070709433685508,2,4,4,2,2.4747483017899277,2.0,0,107.0707055347711
reference_p_only_v0.14.3,nominal_profile,nominal_step_up,42,100.0,107.0707055347711,-7.070705534771093,4,2,2,-2,-2.4747469371698827,-2.0,0,92.92929193093454
reference_p_only_v0.14.3,nominal_profile,nominal_step_up,43,100.0,92.92929193093454,7.070708069065461,2,4,4,2,2.474747824172911,2.0,0,107.07070642177412
reference_p_only_v0.14.3,nominal_profile,nominal_step_up,44,100.0,107.07070642177412,-7.070706421774119,4,2,2,-2,-2.4747472476209413,-2.0,0,92.92929250748651
reference_p_only_v0.14.3,nominal_profile,nominal_step_up,45,100.0,92.92929250748651,7.070707492513492,2,4,4,2,2.474747622379722,2.0,0,107.0707067965329
reference_p_only_v0.14.3,nominal_profile,nominal_step_up,46,100.0,107.0707067965329,-7.070706796532903,4,2,2,-2,-2.4747473787865157,-2.0,0,92.92929275107971
reference_p_only_v0.14.3,nominal_profile,nominal_step_up,47,100.0,92.92929275107971,7.070707248920286,2,4,4,2,2.4747475371221,2.0,0,107.07070695486848
reference_p_only_v0.14.3,nominal_profile,nominal_step_up,48,100.0,107.07070695486848,-7.070706954868484,4,2,2,-2,-2.4747474342039695,-2.0,0,92.92929285399785
reference_p_only_v0.14.3,nominal_profile,nominal_step_up,49,100.0,92.92929285399785,7.07070714600215,2,4,4,2,2.4747475011007523,2.0,0,107.07070702176526
reference_p_only_v0.14.3,nominal_profile,nominal_step_up,50,100.0,107.07070702176526,-7.070707021765259,4,2,2,-2,-2.4747474576178403,-2.0,0,92.92929289748075
reference_p_only_v0.14.3,nominal_profile,nominal_step_up,51,100.0,92.92929289748075,7.0707071025192505,2,4,4,2,2.4747474858817373,2.0,0,107.07070705002916
reference_p_only_v0.14.3,nominal_profile,nominal_step_up,52,100.0,107.07070705002916,-7.0707070500291564,4,2,2,-2,-2.4747474675102046,-2.0,0,92.92929291585229
reference_p_only_v0.14.3,nominal_profile,nominal_step_up,53,100.0,92.92929291585229,7.070707084147713,2,4,4,2,2.4747474794516995,2.0,0,107.07070706197065
reference_p_only_v0.14.3,nominal_profile,nominal_step_up,54,100.0,107.07070706197065,-7.070707061970651,4,2,2,-2,-2.474747471689728,-2.0,0,92.92929292361426
reference_p_only_v0.14.3,nominal_profile,nominal_step_up,55,100.0,92.92929292361426,7.0707070763857445,2,4,4,2,2.4747474767350104,2.0,0,107.07070706701593
reference_p_only_v0.14.3,nominal_profile,nominal_step_up,56,100.0,107.07070706701593,-7.070707067015931,4,2,2,-2,-2.474747473455576,-2.0,0,92.92929292689368
reference_p_only_v0.14.3,nominal_profile,nominal_step_up,57,100.0,92.92929292689368,7.07070707310632,2,4,4,2,2.4747474755872116,2.0,0,107.07070706914756
reference_p_only_v0.14.3,nominal_profile,nominal_step_up,58,100.0,107.07070706914756,-7.070707069147559,4,2,2,-2,-2.4747474742016458,-2.0,0,92.92929292827924
reference_p_only_v0.14.3,nominal_profile,nominal_step_up,59,100.0,92.92929292827924,7.070707071720761,2,4,4,2,2.4747474751022662,2.0,0,107.07070707004817
reference_p_only_v0.14.3,elevated_profile,elevated_step_up,0,120.0,75.0,45.0,3,5,5,2,15.749999999999998,2.0,0,100.5
reference_p_only_v0.14.3,elevated_profile,elevated_step_up,1,120.0,100.5,19.5,5,7,7,2,6.824999999999999,2.0,0,118.35
reference_p_only_v0.14.3,elevated_profile,elevated_step_up,2,120.0,118.35,1.6500000000000057,7,8,8,1,0.5775000000000019,0.5775000000000019,0,130.84499999999997
reference_p_only_v0.14.3,elevated_profile,elevated_step_up,3,120.0,130.84499999999997,-10.84499999999997,8,6,6,-2,-3.7957499999999893,-2.0,0,139.59149999999997
reference_p_only_v0.14.3,elevated_profile,elevated_step_up,4,120.0,139.59149999999997,-19.591499999999968,6,4,4,-2,-6.857024999999989,-2.0,0,137.71405
reference_p_only_v0.14.3,elevated_profile,elevated_step_up,5,120.0,137.71405,-17.714049999999986,4,2,2,-2,-6.199917499999994,-2.0,0,116.39983499999998
reference_p_only_v0.14.3,elevated_profile,elevated_step_up,6,120.0,116.39983499999998,3.6001650000000183,2,3,3,1,1.2600577500000063,1.2600577500000063,0,111.47988449999998
reference_p_only_v0.14.3,elevated_profile,elevated_step_up,7,120.0,111.47988449999998,8.520115500000017,3,5,5,2,2.982040425000006,2.0,0,126.03591914999998
reference_p_only_v0.14.3,elevated_profile,elevated_step_up,8,120.0,126.03591914999998,-6.035919149999984,5,3,3,-2,-2.112571702499994,-2.0,0,118.22514340499998
reference_p_only_v0.14.3,elevated_profile,elevated_step_up,9,120.0,118.22514340499998,1.774856595000017,3,4,4,1,0.6211998082500059,0.6211998082500059,0,122.75760038349998
reference_p_only_v0.14.3,elevated_profile,elevated_step_up,10,120.0,122.75760038349998,-2.7576003834999767,4,3,3,-1,-0.9651601342249918,-0.9651601342249918,0,115.93032026844998
reference_p_only_v0.14.3,elevated_profile,elevated_step_up,11,120.0,115.93032026844998,4.069679731550025,3,4,4,1,1.4243879060425086,1.4243879060425086,0,121.15122418791498
reference_p_only_v0.14.3,elevated_profile,elevated_step_up,12,120.0,121.15122418791498,-1.151224187914977,4,4,4,0,-0.4029284657702419,-0.4029284657702419,0,124.80585693154048
reference_p_only_v0.14.3,elevated_profile,elevated_step_up,13,120.0,124.80585693154048,-4.805856931540475,4,2,2,-2,-1.6820499260391664,-1.6820499260391664,0,107.36409985207833
reference_p_only_v0.14.3,elevated_profile,elevated_step_up,14,120.0,107.36409985207833,12.635900147921674,2,4,4,2,4.422565051772586,2.0,0,115.15486989645483
reference_p_only_v0.14.3,elevated_profile,elevated_step_up,15,120.0,115.15486989645483,4.8451301035451735,4,6,6,2,1.6957955362408106,1.6957955362408106,0,128.60840892751838
reference_p_only_v0.14.3,elevated_profile,elevated_step_up,16,120.0,128.60840892751838,-8.608408927518383,6,4,4,-2,-3.012943124631434,-2.0,0,130.02588624926287
reference_p_only_v0.14.3,elevated_profile,elevated_step_up,17,120.0,130.02588624926287,-10.025886249262868,4,2,2,-2,-3.5090601872420035,-2.0,0,111.018120374484
reference_p_only_v0.14.3,elevated_profile,elevated_step_up,18,120.0,111.018120374484,8.981879625516001,2,4,4,2,3.1436578689306,2.0,0,117.7126842621388
reference_p_only_v0.14.3,elevated_profile,elevated_step_up,19,120.0,117.7126842621388,2.2873157378612063,4,5,5,1,0.8005605082514222,0.8005605082514222,0,130.39887898349716
reference_p_only_v0.14.3,elevated_profile,elevated_step_up,20,120.0,130.39887898349716,-10.398878983497156,5,3,3,-2,-3.639607644224004,-2.0,0,121.279215288448
reference_p_only_v0.14.3,elevated_profile,elevated_step_up,21,120.0,121.279215288448,-1.2792152884480004,3,3,3,0,-0.4477253509568001,-0.4477253509568001,0,114.89545070191359
reference_p_only_v0.14.3,elevated_profile,elevated_step_up,22,120.0,114.89545070191359,5.104549298086411,3,5,5,2,1.7865922543302437,1.7865922543302437,0,128.4268154913395
reference_p_only_v0.14.3,elevated_profile,elevated_step_up,23,120.0,128.4268154913395,-8.42681549133951,5,3,3,-2,-2.9493854219688287,-2.0,0,119.89877084393765
reference_p_only_v0.14.3,elevated_profile,elevated_step_up,24,120.0,119.89877084393765,0.10122915606234528,3,3,3,0,0.035430204621820845,0.035430204621820845,0,113.92913959075635
reference_p_only_v0.14.3,elevated_profile,elevated_step_up,25,120.0,113.92913959075635,6.07086040924365,3,5,5,2,2.1248011432352776,2.0,0,127.75039771352944
reference_p_only_v0.14.3,elevated_profile,elevated_step_up,26,120.0,127.75039771352944,-7.750397713529438,5,3,3,-2,-2.712639199735303,-2.0,0,119.4252783994706
reference_p_only_v0.14.3,elevated_profile,elevated_step_up,27,120.0,119.4252783994706,0.5747216005294007,3,3,3,0,0.20115256018529024,0.20115256018529024,0,113.59769487962942
reference_p_only_v0.14.3,elevated_profile,elevated_step_up,28,120.0,113.59769487962942,6.402305120370585,3,5,5,2,2.2408067921297046,2.0,0,127.51838641574058
