timestamp_utc,t_seconds,target_lambda,phase,phase_index
2026-06-24T02:58:35Z,530,64.0,hold,2
2026-06-24T02:58:40Z,535,64.0,hold,2
2026-06-24T02:58:45Z,540,64.0,hold,2
2026-06-24T02:58:50Z,545,64.0,hold,2
2026-06-24T02:58:55Z,550,64.0,hold,2
2026-06-24T02:59:00Z,555,64.0,hold,2
2026-06-24T02:59:05Z,560,64.0,hold,2
2026-06-24T02:59:10Z,565,64.0,hold,2
2026-06-24T02:59:15Z,570,64.0,hold,2
2026-06-24T02:59:20Z,575,64.0,hold,2
2026-06-24T02:59:25Z,580,64.0,hold,2
2026-06-24T02:59:30Z,585,64.0,hold,2
2026-06-24T02:59:35Z,590,64.0,hold,2
2026-06-24T02:59:40Z,595,64.0,hold,2
2026-06-24T02:59:45Z,600,64.0,hold,2
2026-06-24T02:59:50Z,605,64.0,hold,2
2026-06-24T02:59:55Z,610,64.0,hold,2
2026-06-24T03:00:00Z,615,64.0,hold,2
2026-06-24T03:00:05Z,620,64.0,hold,2
2026-06-24T03:00:10Z,625,64.0,hold,2
2026-06-24T03:00:15Z,630,64.0,hold,2
